stationID,stationName,security,regionID,constellationID,,reprocessingEfficiency,reprocessingStationsTake,reprocessingHangarFlag,dockingCostPerVolume,maxShipVolumeDockable,officeRentalCost,operationID,stationTypeID,corporationID,,,,,,,,,,solarSystemID
60000004,Muvolailen X - Moon 3 - CBD Corporation Storage,0.708086725,10000033,20000407,,0.5,0.05,4,0.00E+00,50000000,10000,26,1531,1000002,,,,,,,,,,30002780
60000007,Ono V - Moon 9 - CBD Corporation Storage,0.794423787,10000033,20000407,,0.5,0.05,4,0.00E+00,50000000,10000,26,1531,1000002,,,,,,,,,,30002779
60000010,Annaro I - CBD Corporation Storage,0.807470359,10000033,20000407,,0.5,0.05,4,0.00E+00,50000000,10000,26,1531,1000002,,,,,,,,,,30002776
60000013,Ono V - Moon 2 - CBD Corporation Storage,0.794423787,10000033,20000407,,0.5,0.05,4,0.00E+00,50000000,10000,26,1531,1000002,,,,,,,,,,30002779
60000016,Tasabeshi VIII - Moon 13 - CBD Corporation Storage,0.830854796,10000033,20000407,,0.5,0.05,4,0.00E+00,50000000,10000,26,1531,1000002,,,,,,,,,,30002778
60000019,Tasabeshi VI - Moon 1 - CBD Corporation Storage,0.830854796,10000033,20000407,,0.5,0.05,4,0.00E+00,50000000,10000,26,1531,1000002,,,,,,,,,,30002778
60000022,Ney X - Moon 15 - CBD Corporation Storage,0.456754893,10000032,20000388,,0.5,0.05,4,0.00E+00,50000000,10000,26,1531,1000002,,,,,,,,,,30002650
60000025,Ardene VIII - Moon 5 - CBD Corporation Storage,0.551779819,10000032,20000388,,0.5,0.05,4,0.00E+00,50000000,10000,26,1531,1000002,,,,,,,,,,30002648
60000028,Schoorasana VI - Moon 1 - CBD Corporation Storage,0.44809953,10000032,20000388,,0.5,0.05,4,0.00E+00,50000000,10000,26,1531,1000002,,,,,,,,,,30002654
60000031,Schoorasana VI - Moon 6 - CBD Corporation Storage,0.44809953,10000032,20000388,,0.5,0.05,4,0.00E+00,50000000,10000,26,1531,1000002,,,,,,,,,,30002654
60000034,Ardene VI - Moon 12 - CBD Corporation Storage,0.551779819,10000032,20000388,,0.5,0.05,4,0.00E+00,50000000,10000,26,1531,1000002,,,,,,,,,,30002648
